x1, y1, x2, y2, d, a, t
52, 56, 36, 92, 39.365, 2.701, 7
56, 56, 48, 95, 39.350, 2.951, 7
63, 57, 54, 38, 21.825, 0.455, 7
44, 60, 78, 46, 36.100, -1.196, 7
50, 62, 98, 50, 49.189, -1.316, 7
39, 64, 66, 64, 26.640, -1.571, 7
51, 75, 94, 45, 52.595, -0.964, 7
40, 76, 62, 81, 21.859, -1.774, 7
50, 84, 95, 48, 56.750, -0.905, 7
46, 97, 90, 60, 57.009, -0.860, 7
67, 46, 59, 61, 18.043, 2.642, 7
63, 47, 69, 68, 21.242, -2.873, 7
135, 47, 68, 68, 70.121, 1.874, 7
118, 50, 49, 72, 72.187, 1.875, 7
53, 56, 76, 70, 27.081, -2.144, 7
64, 57, 42, 104, 52.058, 2.688, 7
51, 74, 47, 89, 15.034, 2.850, 7
51, 79, 85, 66, 35.691, -1.192, 7
58, 62, 83, 64, 24.903, -1.675, 7
39, 32, 33, 46, 15.232, 2.737, 8
51, 32, 36, 78, 48.384, 2.826, 8
34, 34, 71, 34, 37.000, -1.571, 8
61, 35, 48, 67, 34.540, 2.756, 8
43, 36, 93, 62, 56.729, -2.051, 8
47, 36, 38, 75, 40.523, 2.928, 8
64, 38, 51, 57, 23.022, 2.542, 8
79, 38, 36, 41, 43.105, 1.640, 8
82, 38, 109, 46, 28.588, -1.884, 8
85, 41, 34, 69, 58.181, 2.073, 8
88, 44, 100, 53, 15.523, -2.235, 8
66, 65, 38, 90, 37.537, 2.300, 8
35, 70, 46, 76, 13.619, -2.094, 8
81, 71, 50, 85, 34.015, 1.995, 8
55, 72, 82, 43, 39.623, -0.750, 8
63, 74, 50, 85, 16.858, 2.297, 8
44, 75, 51, 65, 12.207, -0.611, 8
51, 76, 79, 36, 48.826, -0.611, 8
39, 82, 82, 69, 45.793, -1.286, 8
57, 85, 46, 83, 11.180, 1.391, 8
42, 103, 84, 69, 53.662, -0.899, 8
80, 38, 35, 53, 47.690, 1.882, 8
93, 38, 48, 67, 53.933, 2.134, 8
84, 40, 40, 43, 44.055, 1.621, 8
92, 40, 50, 64, 48.374, 2.090, 8
96, 49, 31, 91, 77.280, 2.142, 8
58, 62, 88, 59, 29.397, -1.455, 8
66, 64, 104, 37, 47.290, -0.948, 8
49, 72, 92, 63, 43.736, -1.364, 8
62, 74, 79, 70, 17.181, -1.360, 8
39, 81, 66, 77, 26.798, -1.398, 8
49, 94, 100, 53, 66.230, -0.893, 8
76, 46, 94, 62, 24.655, -2.294, 8
79, 61, 80, 67, 5.415, -2.918, 8
66, 64, 37, 44, 35.883, 0.952, 8
48, 72, 53, 67, 6.428, -0.680, 8
56, 72, 39, 43, 33.222, 0.522, 8
59, 72, 45, 34, 40.511, 0.354, 8
48, 77, 79, 45, 44.448, -0.742, 8
77, 60, 88, 58, 10.511, -1.406, 8
57, 70, 37, 44, 33.053, 0.643, 8
60, 72, 42, 38, 38.852, 0.496, 8
62, 81, 44, 95, 22.837, 2.219, 8
64, 72, 38, 90, 31.200, 2.163, 8
45, 34, 108, 43, 63.668, -1.716, 9
71, 34, 52, 92, 61.033, 2.825, 9
79, 36, 44, 90, 64.134, 2.572, 9
33, 39, 48, 51, 19.209, -2.246, 9
42, 39, 53, 76, 38.601, -2.853, 9
33, 43, 76, 68, 50.632, -2.096, 9
40, 43, 47, 49, 9.220, -2.279, 9
79, 45, 40, 51, 39.459, 1.723, 9
35, 53, 52, 45, 19.277, -1.177, 9
51, 57, 52, 74, 17.493, -3.039, 9
88, 59, 51, 92, 49.063, 2.313, 9
92, 63, 50, 81, 45.569, 1.991, 9
51, 65, 32, 101, 40.706, 2.656, 9
48, 67, 66, 65, 18.111, -1.460, 9
53, 67, 44, 90, 24.698, 2.769, 9
34, 69, 46, 96, 30.018, -2.727, 9
66, 77, 60, 79, 6.325, 1.893, 9
31, 79, 36, 45, 34.366, -0.146, 9
38, 90, 48, 78, 15.620, -0.695, 9
31, 91, 74, 69, 49.033, -1.108, 9
42, 38, 48, 51, 14.500, -2.715, 9
76, 39, 59, 79, 43.400, 2.720, 9
39, 43, 37, 54, 11.063, 2.923, 9
81, 43, 51, 46, 29.899, 1.667, 9
37, 44, 35, 56, 11.807, 2.954, 9
44, 46, 54, 45, 9.767, -1.385, 9
87, 58, 51, 53, 37.057, 1.414, 9
94, 62, 37, 87, 62.871, 1.983, 9
48, 67, 56, 89, 23.222, -2.790, 9
38, 90, 46, 78, 14.648, -0.611, 9
87, 59, 59, 84, 38.746, 2.304, 9
50, 84, 52, 89, 4.345, -2.765, 9
100, 53, 40, 97, 73.722, 2.204, 9
88, 58, 50, 97, 54.006, 2.358, 9
93, 62, 50, 81, 47.213, 1.980, 9
82, 69, 67, 77, 17.785, 2.030, 9
50, 45, 63, 79, 36.717, -2.769, 10
48, 47, 43, 98, 51.245, 3.044, 10
47, 49, 74, 155, 109.385, -2.892, 10
48, 51, 31, 100, 51.865, 2.808, 10
51, 53, 77, 77, 36.458, -2.317, 10
48, 54, 54, 52, 6.119, -1.373, 10
35, 56, 67, 77, 39.262, -2.158, 10
44, 58, 42, 96, 38.053, 3.089, 10
77, 69, 70, 72, 7.104, 2.007, 10
49, 76, 57, 51, 25.645, -0.342, 10
60, 79, 74, 72, 15.996, -1.158, 10
50, 81, 53, 92, 11.402, -2.875, 10
61, 82, 76, 75, 17.047, -1.186, 10
39, 86, 54, 51, 37.604, -0.431, 10
37, 88, 58, 54, 39.962, -0.553, 10
44, 90, 45, 96, 6.083, -2.976, 10
48, 46, 70, 73, 34.883, -2.429, 10
40, 51, 101, 51, 60.203, -1.561, 10
48, 51, 76, 72, 34.902, -2.195, 10
37, 54, 38, 97, 43.007, -3.123, 10
50, 81, 63, 74, 14.715, -1.028, 10
57, 86, 80, 74, 25.603, -1.065, 10
51, 97, 61, 73, 25.849, -0.381, 10
51, 50, 100, 50, 48.960, -1.571, 10
59, 79, 79, 71, 21.579, -1.181, 10
59, 84, 80, 74, 23.828, -1.112, 10
74, 70, 89, 64, 15.755, -1.145, 10
59, 52, 98, 58, 40.069, -1.740, 11
79, 71, 84, 66, 7.628, -0.897, 11
71, 73, 87, 59, 21.874, -0.879, 11
80, 74, 44, 90, 39.395, 1.989, 11
59, 89, 75, 69, 25.533, -0.708, 11
53, 92, 62, 88, 9.849, -1.153, 11
45, 96, 76, 69, 41.110, -0.854, 11
31, 100, 37, 102, 6.325, -1.893, 11
32, 102, 77, 72, 54.083, -0.983, 11
74, 155, 76, 72, 82.449, -0.025, 11
58, 51, 67, 145, 93.976, -3.052, 11
88, 63, 88, 59, 4.669, 0.172, 11
58, 88, 61, 87, 3.264, -1.272, 11
52, 92, 56, 90, 4.327, -0.983, 11
48, 96, 60, 88, 14.755, -1.008, 11
47, 54, 66, 81, 32.127, -2.529, 11
70, 72, 34, 98, 44.862, 2.189, 11
76, 72, 41, 95, 42.149, 2.148, 11
61, 73, 48, 99, 29.105, 2.643, 11
67, 77, 56, 90, 16.919, 2.380, 11
63, 79, 87, 58, 31.682, -0.871, 11
54, 93, 48, 99, 9.009, 2.300, 11
88, 63, 39, 91, 55.662, 2.083, 11
74, 72, 64, 82, 13.441, 2.356, 11
53, 93, 47, 99, 8.553, 2.356, 11
74, 72, 73, 79, 6.734, 2.961, 11
64, 78, 73, 79, 8.928, -1.616, 11
42, 93, 42, 93, 0.000, 0.000, 12
41, 95, 39, 96, 1.720, 2.191, 12
37, 96, 38, 102, 6.161, -2.912, 12
34, 98, 34, 98, 0.000, 0.000, 12
37, 102, 64, 85, 32.482, -1.027, 12
87, 58, 77, 72, 16.464, 2.501, 12
86, 66, 65, 85, 28.617, 2.297, 12
76, 73, 79, 73, 2.209, -1.480, 12
62, 88, 63, 87, 1.697, -0.785, 12
42, 93, 42, 93, 0.000, 0.000, 12
48, 99, 48, 99, 0.600, 0.000, 12
87, 59, 63, 87, 37.400, 2.415, 12
