x1, y1, x2, y2, d, a, t
114, 156, 120, 136, 21.087, -0.320, 89
114, 169, 99, 178, 16.725, 2.102, 89
83, 116, 79, 132, 16.485, 2.903, 89
75, 126, 78, 145, 19.949, -3.004, 89
44, 160, 64, 167, 21.162, -1.894, 89
23, 78, 36, 97, 22.722, -2.506, 89
89, 110, 83, 92, 18.912, 0.320, 89
107, 149, 127, 142, 21.826, -1.241, 89
71, 99, 69, 84, 15.276, 0.105, 89
35, 107, 54, 103, 19.350, -1.350, 89
130, 67, 126, 92, 25.459, 2.988, 90
123, 82, 145, 72, 25.295, -1.132, 90
123, 149, 115, 136, 15.538, 0.581, 90
77, 164, 102, 163, 25.303, -1.541, 90
95, 166, 109, 174, 16.966, -2.117, 90
127, 142, 117, 125, 19.115, 0.549, 90
104, 107, 118, 91, 21.562, -0.724, 90
110, 132, 116, 109, 23.141, -0.281, 90
115, 166, 128, 173, 15.517, -2.095, 90
70, 99, 78, 117, 20.226, -2.696, 91
