x1, y1, x2, y2, d, a, t, dc
79, 128, 83, 135, 8.397, -2.601, 6, 0.514
73, 139, 79, 144, 7.200, -2.214, 6, 0.800
77, 57, 81, 58, 3.864, -2.034, 6, 0.894
108, 58, 109, 64, 5.626, -2.956, 6, 0.184
60, 60, 52, 62, 7.916, 1.816, 6, 0.970
65, 60, 58, 62, 7.125, 1.816, 6, 0.970
89, 60, 95, 69, 10.076, -2.601, 6, 0.514
105, 62, 87, 76, 23.023, 2.257, 6, 0.773
60, 67, 69, 73, 10.546, -2.182, 6, 0.819
100, 67, 112, 79, 16.535, -2.349, 6, 0.712
72, 124, 118, 42, 94.494, -0.511, 6, 0.489
79, 127, 104, 60, 72.163, -0.347, 6, 0.340
85, 64, 48, 56, 36.961, 1.349, 6, 0.976
91, 68, 99, 79, 13.935, -2.504, 6, 0.595
87, 70, 82, 74, 5.865, 2.356, 6, 0.707
103, 70, 38, 48, 69.050, 1.239, 6, 0.945
78, 72, 82, 74, 4.493, -1.966, 6, 0.923
99, 77, 32, 47, 73.953, 1.151, 6, 0.913
130, 33, 131, 36, 3.162, -2.820, 7, 0.316
114, 34, 116, 38, 4.472, -2.678, 7, 0.447
127, 35, 128, 40, 5.099, -2.944, 7, 0.196
107, 42, 106, 44, 2.236, 2.678, 7, 0.447
118, 42, 119, 45, 3.162, -2.820, 7, 0.316
123, 43, 60, 97, 83.216, 2.292, 7, 0.751
116, 47, 80, 134, 94.372, 2.755, 7, 0.377
38, 48, 38, 57, 9.608, -3.100, 7, 0.042
43, 48, 84, 60, 43.501, -1.862, 7, 0.958
80, 50, 79, 56, 6.450, 3.017, 7, 0.124
110, 51, 112, 56, 5.385, -2.761, 7, 0.371
130, 51, 112, 84, 37.213, 2.661, 7, 0.462
113, 52, 111, 51, 2.236, 1.107, 7, 0.894
136, 52, 135, 33, 19.026, 0.053, 7, 0.053
99, 53, 98, 57, 4.123, 2.897, 7, 0.243
111, 56, 110, 61, 5.921, 3.121, 7, 0.020
135, 56, 137, 57, 2.236, -2.034, 7, 0.894
79, 58, 78, 64, 6.083, 2.976, 7, 0.164
96, 59, 97, 61, 2.236, -2.678, 7, 0.447
51, 60, 49, 68, 8.246, 2.897, 7, 0.243
85, 62, 84, 67, 5.295, 2.952, 7, 0.189
71, 63, 75, 66, 5.000, -2.214, 7, 0.800
61, 64, 44, 54, 18.809, 1.055, 7, 0.870
